Id,Gender,financial_issues,family_issues,study_hours,health_issues,friends_issues,friends_time,overload,unpleasant,academic,career,criticism,conflicts,stress_level
1,Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations,2,Sleeping Problem;Concentration Problem,No Issue,5,No,Yes,Yes,Yes,Yes,No,Stressed
2,Male,Deadline of Fee payment,Parental Expectations,2,Anxiety or Tension,Mistrust,1,No,No,No,No,No,Yes,Stressed
3,Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations,4,Insomnia (Sleep Deprivation);Low Energy;Anxiety or Tension;Sleeping Problem;Concentration Problem,None,10,Yes,Yes,Yes,No,Yes,Yes,Stressed
4,Male,Repay Loan Issues,Parental Expectations,5,Concentration Problem,Mistrust,10,No,Yes,Yes,Yes,Yes,Yes,Stressed
5,Male,Repay Loan Issues;Deadline of Fee payment,Parental Expectations;Poor Communication and misunderstandings;Negligence of Children,4,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Anxiety or Tension;Lonliness;Sleeping Problem;Concentration Problem,Jealousy,1,Yes,Yes,Yes,Yes,No,Yes,Stressed
6,Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations,8,Anxiety or Tension;Sleeping Problem,Comparison between them,6,Yes,Yes,No,No,Yes,Yes,Stressed
7,Male,Payment for Hostel,Poor Communication and misunderstandings;Negligence of Children,4,Sinus or Migraine or Headaches;Low Energy;Anxiety or Tension;Lonliness;Concentration Problem,Conflicts;Comparison between them;Mistrust,2,No,Yes,Yes,Yes,No,No,Stressed
8,Male,None,None,4,Insomnia (Sleep Deprivation);Low Energy;Anxiety or Tension;Concentration Problem,Comparison between them;lack of deep communication,8,Yes,No,Yes,Yes,No,Yes,Stressed
9,Male,Deadline of Fee payment,Parental Expectations,2,Anxiety or Tension,Comparison between them,5,Yes,No,No,Yes,No,No,Stressed
10,Male,Deadline of Fee payment;Payment for Hostel,Parental Expectations;Negligence of Children,1,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Low Energy;Lonliness;Sleeping Problem;Concentration Problem,Mistrust,3,Yes,Yes,Yes,No,Yes,Yes,Stressed
11,Male,Deadline of Fee payment,Parental Expectations,6,Concentration Problem,Comparison between them,4,No,No,Yes,Yes,No,Yes,Stressed
12,Male,Deadline of Fee payment,Parental Expectations,6,Concentration Problem,Comparison between them,6,No,No,Yes,Yes,No,Yes,Stressed
13,Male,Repay Loan Issues;Deadline of Fee payment,Parental Expectations;Being bullied by siblings,3,Insomnia (Sleep Deprivation);Low Energy;Anxiety or Tension;Lonliness;Sleeping Problem;Concentration Problem,Conflicts;Comparison between them;Mistrust,2,Yes,Yes,Yes,Yes,Yes,Yes,Stressed
14,Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,4,Insomnia (Sleep Deprivation);Anxiety or Tension;Sleeping Problem,Conflicts;Comparison between them,1,Yes,Yes,Yes,No,No,No,Stressed
15,Male,Repay Loan Issues;Payment for Hostel,Parental Expectations;Being bullied by siblings;Divorce of Parents,0,Insomnia (Sleep Deprivation);Low Energy;Anxiety or Tension;Lonliness,Comparison between them;Jealousy,2,Yes,No,Yes,No,No,No,Stressed
16,Female,Repay Loan Issues;Payment for Hostel,Divorce of Parents;Negligence of Children,2,Sinus or Migraine or Headaches;Anxiety or Tension;Sleeping Problem,Comparison between them;Mistrust,3,No,No,Yes,No,Yes,Yes,Stressed
17,Male,Repay Loan Issues,Divorce of Parents;Poor Communication and misunderstandings;Negligence of Children,3,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation);Anxiety or Tension,Comparison between them;Mistrust,3,No,Yes,Yes,No,Yes,No,Stressed
18,Male,Deadline of Fee payment;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings;Negligence of Children,4,Sinus or Migraine or Headaches;Covid;Low Energy;Sleeping Problem,Jealousy;Mistrust,3,No,Yes,Yes,Yes,Yes,No,Stressed
19,Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings;Negligence of Children,3,Insomnia (Sleep Deprivation);Low Energy;Anxiety or Tension,Conflicts;Comparison between them;Jealousy,3,Yes,Yes,No,Yes,Yes,No,Stressed
20,Female,Deadline of Fee payment;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings,3,Sinus or Migraine or Headaches;Covid;Insomnia (Sleep Deprivation);Low Energy,Comparison between them;Jealousy;Mistrust,3,Yes,No,No,Yes,Yes,Yes,Stressed
21,Male,Deadline of Fee payment,Parental Expectations;Divorce of Parents;Negligence of Children,5,Malnutrition;Covid;Anxiety or Tension,Mistrust,3,No,Yes,Yes,Yes,No,No,Stressed
22,Female,Deadline of Fee payment,Parental Expectations;Being bullied by siblings;Poor Communication and misunderstandings,3,Sinus or Migraine or Headaches;Anxiety or Tension,Jealousy,3,Yes,No,Yes,No,Yes,No,Stressed
23,Male,Repay Loan Issues;Deadline of Fee payment,Parental Expectations;Being bullied by siblings,4,Malnutrition;Insomnia (Sleep Deprivation),Comparison between them;Jealousy,3,No,Yes,No,Yes,Yes,No,Stressed
24,Female,Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings,2,Covid;Anxiety or Tension;Concentration Problem,Comparison between them;Mistrust,2,No,Yes,Yes,No,No,No,Stressed
25,Female,Repay Loan Issues;Deadline of Fee payment,Divorce of Parents;Poor Communication and misunderstandings,9,Insomnia (Sleep Deprivation);Anxiety or Tension;Sleeping Problem,Conflicts;Jealousy;Betrayal,3,No,Yes,No,Yes,Yes,Yes,Stressed
26,Male,Deadline of Fee payment;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings;Negligence of Children,2,Insomnia (Sleep Deprivation);Anxiety or Tension;Lonliness,Comparison between them;Mistrust,9,No,No,Yes,Yes,No,Yes,Stressed
27,Female,Deadline of Fee payment,Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,2,Insomnia (Sleep Deprivation);Anxiety or Tension,Comparison between them,9,No,Yes,Yes,Yes,Yes,Yes,Stressed
28,Female,Repay Loan Issues;Deadline of Fee payment,Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,4,Low Energy,Mistrust,7,Yes,Yes,No,No,Yes,No,Stressed
29,Male,Repay Loan Issues;Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,3,Sinus or Migraine or Headaches;Insomnia (Sleep Deprivation),Comparison between them;Mistrust,2,Yes,Yes,No,Yes,No,No,Stressed
30,Male,Deadline of Fee payment,Parental Expectations;Negligence of Children,1,Insomnia (Sleep Deprivation);Lonliness,Comparison between them;Jealousy;Mistrust,4,No,No,Yes,Yes,No,Yes,Stressed
31,Female,Repay Loan Issues;Deadline of Fee payment,Parental Expectations;Divorce of Parents,4,Insomnia (Sleep Deprivation);Anxiety or Tension;Concentration Problem,Jealousy,4,Yes,Yes,Yes,No,No,No,Stressed
32,Male,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings,6,Covid;Low Energy;Lonliness,Jealousy;Betrayal,3,Yes,Yes,No,No,Yes,No,Stressed
33,Female,Payment for Hostel,Parental Expectations;Being bullied by siblings,4,Malnutrition,Conflicts,3,Yes,Yes,No,No,Yes,No,Stressed
34,Male,Deadline of Fee payment,Poor Communication and misunderstandings;Negligence of Children,8,Sinus or Migraine or Headaches;Low Energy;Lonliness,Comparison between them;Mistrust,6,No,Yes,No,No,Yes,Yes,Stressed
35,Female,Deadline of Fee payment,Divorce of Parents;Poor Communication and misunderstandings,3,Malnutrition;Low Energy;Sleeping Problem,Jealousy,6,No,Yes,No,Yes,No,Yes,Stressed
36,Male,Deadline of Fee payment,Parental Expectations;Being bullied by siblings;Poor Communication and misunderstandings,8,Covid;Anxiety or Tension,Comparison between them;Betrayal,4,Yes,Yes,No,Yes,No,No,Stressed
37,Male,Repay Loan Issues;Deadline of Fee payment,Being bullied by siblings;Negligence of Children,3,Sinus or Migraine or Headaches;Low Energy,Jealousy;Mistrust,3,No,Yes,Yes,No,No,Yes,Stressed
38,Female,Repay Loan Issues;Deadline of Fee payment,Being bullied by siblings;Divorce of Parents;Negligence of Children,5,Sinus or Migraine or Headaches;Covid;Insomnia (Sleep Deprivation);Sleeping Problem,Comparison between them;Mistrust,3,Yes,No,Yes,Yes,No,No,Stressed
39,Male,Repay Loan Issues,Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,3,Sinus or Migraine or Headaches;Anxiety or Tension;Sleeping Problem,Comparison between them;Mistrust,4,Yes,No,Yes,No,No,Yes,Stressed
40,Male,Deadline of Fee payment,Being bullied by siblings;Negligence of Children,3,Covid;Concentration Problem,Comparison between them;Mistrust,3,No,Yes,No,No,Yes,Yes,Stressed
41,Female,Repay Loan Issues;Payment for Hostel,Divorce of Parents;Poor Communication and misunderstandings,3,Low Energy;Sleeping Problem,Mistrust;Betrayal,2,Yes,No,Yes,Yes,No,Yes,Stressed
42,Male,Repay Loan Issues;Payment for Hostel,Poor Communication and misunderstandings;Negligence of Children,4,Insomnia (Sleep Deprivation);Anxiety or Tension;Sleeping Problem,Mistrust,5,Yes,Yes,Yes,No,No,No,Stressed
43,Male,Payment for Hostel,Being bullied by siblings,2,Sleeping Problem,Comparison between them;Mistrust,3,No,No,Yes,No,No,Yes,Stressed
44,Female,Repay Loan Issues;Payment for Hostel,Parental Expectations;Divorce of Parents;Poor Communication and misunderstandings,2,Malnutrition;Low Energy;Sleeping Problem,Mistrust,7,Yes,Yes,Yes,No,No,Yes,Stressed
45,Male,Repay Loan Issues,Parental Expectations;Being bullied by siblings,5,Malnutrition;Sinus or Migraine or Headaches;Covid,Conflicts;Comparison between them,3,Yes,Yes,No,No,Yes,Yes,Stressed
46,Female,Repay Loan Issues;Deadline of Fee payment,Parental Expectations;Divorce of Parents,1,Low Energy;Sleeping Problem,Jealousy;Mistrust,2,No,Yes,Yes,Yes,Yes,No,Stressed
47,Female,Deadline of Fee payment;Payment for Hostel,Parental Expectations;Divorce of Parents,2,Covid;Low Energy;Sleeping Problem,Conflicts;Mistrust,2,No,No,Yes,Yes,Yes,No,Stressed
48,Female,Deadline of Fee payment,Parental Expectations;Poor Communication and misunderstandings,1,Covid;Anxiety or Tension,Jealousy;Mistrust,4,Yes,Yes,Yes,No,Yes,Yes,Stressed
49,Female,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Poor Communication and misunderstandings,5,Covid;Anxiety or Tension;Sleeping Problem,Jealousy,2,No,No,No,No,Yes,Yes,Stressed
50,Female,Deadline of Fee payment,Parental Expectations;Being bullied by siblings,7,Covid;Insomnia (Sleep Deprivation);Low Energy,Comparison between them;Jealousy,5,No,No,Yes,Yes,Yes,No,Stressed
51,Female,Deadline of Fee payment,Parental Expectations;Divorce of Parents,1,Covid;Low Energy;Lonliness,Conflicts;Mistrust,2,No,No,Yes,Yes,Yes,No,Stressed
52,Male,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Divorce of Parents;Poor Communication and misunderstandings,0,Insomnia (Sleep Deprivation);Anxiety or Tension,Mistrust,2,No,Yes,Yes,No,No,Yes,Stressed
53,Female,Repay Loan Issues;Deadline of Fee payment,Being bullied by siblings;Poor Communication and misunderstandings,5,Covid;Low Energy;Concentration Problem,Mistrust,4,No,Yes,Yes,Yes,Yes,Yes,Stressed
54,Male,Repay Loan Issues;Deadline of Fee payment,Parental Expectations;Divorce of Parents,3,Malnutrition;Anxiety or Tension;Sleeping Problem,Jealousy,5,Yes,No,Yes,Yes,No,Yes,Stressed
55,Male,Repay Loan Issues,Parental Expectations;Poor Communication and misunderstandings,1,Covid;Low Energy;Lonliness,Mistrust,3,Yes,Yes,No,No,Yes,No,Stressed
56,Female,None,Parental Expectations,0,Malnutrition;Insomnia (Sleep Deprivation);Low Energy;Anxiety or Tension,Betrayal,1,Yes,Yes,Yes,Yes,Yes,Yes,Stressed
57,Female,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Divorce of Parents;Negligence of Children,6,Malnutrition;Insomnia (Sleep Deprivation);Lonliness;Concentration Problem,Jealousy;Betrayal,5,Yes,Yes,No,Yes,No,No,Stressed
58,Male,Deadline of Fee payment;Payment for Hostel,Being bullied by siblings;Negligence of Children,3,Malnutrition;Covid;Lonliness,Jealousy;Betrayal,4,Yes,No,No,Yes,Yes,Yes,Stressed
59,Male,Repay Loan Issues;Payment for Hostel,Being bullied by siblings;Negligence of Children,3,Covid;Anxiety or Tension;Sleeping Problem,Comparison between them;Betrayal,3,Yes,Yes,No,No,Yes,No,Stressed
